"분류번호","측정소명","년/월/일","회차","경도","위도","채수시각","DO(㎎/L)","BOD(㎎/L)","COD(㎎/L)","TN(㎎/L)","TP(㎎/L)","TOC(㎎/L)","SS(㎎/L)"
"3012A32","금강","2022/01/03","1회차","127°6'.1""","36°27'52.7""","10:20","13.8","0.9","5.5","5.074","0.029","3.7","3.4"
"3012A15","대교천1","2022/01/03","1회차","127°12'31.7""","36°29'58.8""","10:42","14.3","1.3","1.5","1.698","0.012","0.9","1.2"
"3008A40","대청댐","2022/01/03","1회차","127°28'35.5""","36°22'16.2""","13:45","11.1","0.4","3.7","1.236","0.011","2.4","1.6"
"3101A25","무한천2","2022/01/03","1회차","126°49'49.7""","36°43'59.2""","14:40","14.4","2.1","4.3","9.692","0.050","2.2","1.0"
"3303A10","백천내","2022/01/03","1회차","126°36'36.5""","35°39'17.1""","14:00","11.7","0.6","1.4","2.069","0.004","0.4","0.3"
"3012A42","부여","2022/01/03","1회차","126°56'39.9""","36°19'19.5""","11:00","","","","","","",""
"3101A45","삼용천","2022/01/03","1회차","127°9'11.04""","36°47'52.98""","13:10","14.2","3.8","5.2","4.644","0.317","2.6","0.6"
"3006A10","옥천","2022/01/03","1회차","127°38'44.8""","36°16'59.6""","10:40","14.8","0.5","2.8","2.126","0.006","1.6","0.6"
"3101A55","온천천","2022/01/03","1회차","126°59'31.56""","36°47'45.24""","14:20","8.5","5.0","7.0","5.343","0.169","3.4","3.0"
"3203A30","웅천천1","2022/01/03","1회차","126°40'33.41""","36°17'27.1""","11:00","14.8","0.8","3.8","3.951","0.015","1.2","1.6"
"3101A40","원성천","2022/01/03","1회차","127°9'11.88""","36°48'1.44""","13:20","13.2","1.9","6.2","5.314","0.766","3.7","0.6"
"3011A85","조천1","2022/01/03","1회차","127°18'20.9""","36°36'11.8""","13:22","14.0","2.0","2.4","2.905","0.053","1.2","1.5"
"3101A35","천안천1","2022/01/03","1회차","127°8'46.27""","36°47'57.12""","13:30","13.3","2.9","6.4","5.669","0.501","3.4","0.8"
"3101A50","천안천2","2022/01/03","1회차","127°6'48.36""","36°46'51.62""","13:40","10.0","3.8","9.3","11.720","0.241","5.2","1.2"
"3008A60","현도","2022/01/03","1회차","127°27'9.78""","36°26'56.95""","09:36","10.6","0.6","3.6","1.222","0.007","2.2","1.8"
"3009A80","갑천7","2022/01/04","1회차","127°23'59.87""","36°27'13.72""","10:30","12.2","2.3","8.0","9.308","0.078","6.2","3.2"
"3101A60","곡교천2","2022/01/04","1회차","126°56'2.2""","36°49'17.9""","11:20","10.4","4.1","7.3","9.840","0.203","5.2","5.0"
"3012A30","곰나루","2022/01/04","1회차","127°6'39.64""","36°28'27.75""","09:34","13.6","1.1","4.6","5.032","0.026","3.5","1.6"
