"Data Source","World Development Indicators",

"Last Updated Date","2024-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","632960876.735354","717702601.347128","760451194.740887","852678170.491876","954968399.28639","1059710341.3757","1199968768.1342","1304238475.54572","1362103919.96094","1471549940.26198","1538201484.88546","1591248888.47279","1817197910.91781","1859916219.70373","1770097153.54831","1957789027.13985","2245797232.79212","1925280491.6063","2377953053.37092","2263489180.21641","2702680605.85031","2473150591.76975","2347430362.15644","2369823432.97813","2495561937.38643","2623720622.09359","2643760295.99961","2639315168.02316","2747821767.15291","2947640697.68666","3063569555.86415","3134965130.34945","2487355564.27834","3215227617.06748","3556200129.52052","",
"Africa Eastern and Southern","AFE","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","24464399346.8139","26398834537.7925","28267435860.3148","31114924679.0619","33916734020.3541","37177478932.6921","40459439654.2214","44115245897.8881","45245498665.95","49912282327.2447","54581032348.3656","66199887635.9921","83844734420.108","98119965495.433","99951322726.3346","101809403122.707","112140227290.971","134619787791.903","168819058185.925","193196485111.037","190330414430.86","180100296189.923","177772642169.895","165086552327.189","166003969911.769","186090637453.894","217226400826.894","232350809120.398","241541072890.732","259776455362.857","257165589599.657","249490596338.979","240246556693.512","258097616186.689","271045568988.94","279353282619.249","264446579679.646","263142182244.74","266654644948.161","262235186411.232","262793114552.731","291694589315.376","364413235298.763","468203288252.315","541042652279.017","608674230526.569","666921614326.503","693268145354.726","747052682207.96","834035445929.533","913738979018.817","952833603134.727","964896190395.175","923959228432.556","866393553539.816","864147476776.691","930665483555.022","995682658791.846","955957958670.517","1031935081268.88","1118135053151.96","1183747952409.04",
"Afghanistan","AFG","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3855298263.95658","4330114357.75217","4996781463.93976","6145219406.73031","6962158645.4777","8668787530.00972","9768577941.33211","12642365226.8958","14864149924.334","16062706809.4182","19575474863.7514","21060159748.9596","21036150317.7626","20114103580.5321","19449602244.5449","19032212583.775","19092091282.3498","19698775580.2624","19236860322.2919","15387504467.756","14891705444.2429","",
"Africa Western and Central","AFW","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","483604750663.324","520607636616.515","555824811059.49","584720183260.129","665983276014.391","746864213399.159","835858035811.904","822392078522.084","749323277088.323","690021000841.931","720337450421.28","771460198125.171","790746142631.794","836212934550.988","875300605274.578","855785270448.24",
"Angola","AGO","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9900000000","3392038321.57174","5138513437.72784","4956355628.59569","6335678594.97497","6046516458.54312","5280590474.047","5902927855.04956","6690072759.63723","10317790755.4238","12827056103.3366","19001072907.8091","26682881049.2142","36533903479.9142","51493392701.2754","65661156904.4508","71274868322.3487","75541595072.9602","82604385198.0654","104804655534.48","123089247467.859","130422069415.184","110414347930.937","74246107929.285","63162391766.6093","61533787790.6213","68335787525.2157","56331404563.5967","56607120856.7037","66533165321.527","78319283382.5717",
"Albania","ALB","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","2114290463.45928","2250946642.49285","2308259449.5744","2445669340.55044","2144674610.30862","1340594874.79034","906184212.301291","1024263065.17666","1216680599.55511","2035219959.6249","2823912223.38245","2532885528.89737","2700757967.22447","2956593291.68847","3406993378.95541","3906029740.86099","4175916869.95805","5006223194.91595","6361564926.47845","7887616711.3044","9130490634.75616","10274253836.0521","11892990139.3173","12529413394.3485","12709390046.2596","12803937514.4299","12658293562.474","13156891247.9112","13115548996.5957","12635760849.2255","12420735753.6914","12329821974.2681","13932831359.0419","14933195208.448","14946210782.2386","17145585256.2806","18815089737.6346","20773695503.2538",
"Andorra","AND","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3552049470.57949","3284835772.99789","3504812094.64316","3997842572.70562","",
"Arab World","ARB","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","33754416305.1529","38057826705.911","43065033932.5226","48401806615.6756","60579518525.6243","74208921286.4958","111615443094.947","156858759209.005","221461665843.395","246545976329.318","277965395789.891","361646752515.027","458452495406.354","512019463190.435","490638133210.098","445587042226.578","445177730010.438","445125327454.139","465613919048.088","481708824941.967","502675906022.345","509505725767.322","589995433844.11","483598404357.753","501479215845.806","495790566813.311","508652614725.623","530885417455.833","562955314212.447","601341593380.006","612030946665.653","622591625026.076","693614627853.791","737815972917.898","738537888846.475","804373178979.468","956700494441.239","1121726118023.63","1328616073262.21","1562208468084.79","1873560099171.21","1942854752608.77","2091259708938.56","2251621545189.45","2622025376111.92","2849927288904.63","2931394687602.39","2811372822391.13","2685185790720.68","2556493683439.79","2715856070202.93","2871153180291.14","2692262840182.3","2923836896564.08","3309638806929.42","3468998646788.05",
"United Arab Emirates","ARE","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","1987689763.47792","2880658617.54363","5825654749.37738","11034541789.649","18673543960.5055","24051016258.9419","25925065453.4887","36178105862.256","47680171641.9887","52595929596.8305","48880657334.4719","43503308136.2217","44135011017.5831","42473057127.2109","35039898627.9862","39263304905.8306","40393320289.0487","45436842777.2802","55495216417.8733","54417098146.053","57494227394.5898","58111255411.0858","62096213379.2929","68760750299.5011","73557830180.7752","81214339387.7303","80926293897.6849","79671865462.3309","98424973047.7077","105599045563.768","107622937091.727","121688462672.034","147125913781.427","172049400253.225","208706760111.203","244207313021.935","282949443992.749","277083140716.798","288832849595.534","318235429319.387","362265237162.449","401300072137.755","419037386143.156","412573615047.211","399842873697.11","381719728589.597","405354464277.534","425706852883.79","386387290097.343","408245446642.244","464105390048.79","507149027212.871",
"Argentina","ARG","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","309810000000","158673990030.763","93904509174.3901","103251462841.116","109650451123.545","123019551966.29","93958915902.3965","104086334464.12","127804855411.279","203568016622.907","241811454561.63","262184726924.847","256347178436.284","272663359670.34","290495337988.436","289536836748.234","276294736658.033","275544288842.814","260811643580.081","152402040124.724","139193101197.153","129809211585.293","165719405446.532","215445097642.32","258429317135.467","307363845739.273","315586429999.682","378241273935.818","442036314414.039","496044743443.058","543284023697.86","526784533342.356","543279945585.475","532504167159.506","578798149500.896","553193024104.448","504056284870.866","408628794998.707","457384679384.196","535914326285.561","584110020477.579",
