"Data Source","World Development Indicators",

"Last Updated Date","2024-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20530","22210","23230","24580","26320","26850","26800","28250","28640","27890","30320","31210","29780","31810","34480","28910","35760","33470","38420","33950","32280","32440","33220","34660","35410","35660","35750","36560","37730","38310","29630","37070","43670","",
"Africa Eastern and Southern","AFE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1728.16443919674","1739.98353850357","1657.99382191035","1683.15871522841","1693.77011108446","1796.17775368656","1880.58457771771","1955.86328154453","1958.41993233461","1980.27850614419","2050.09765697821","2117.30007434812","2186.85541442759","2251.79057413749","2380.31872478688","2539.08324448698","2715.26839138572","2881.13023156683","2970.85026422955","2954.78366954493","3038.58667054168","3147.69810204591","3092.50926212284","3204.85990326455","3351.9160961428","3388.75598957017","3502.798135633","3531.13075910162","3584.22986920139","3668.18780170624","3575.82664489723","3863.00438577621","4180.35028023297","4355.81991934223",
"Afghanistan","AFG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","810","770","960","980","980","1090","1140","1300","1340","1570","1770","1750","2000","2150","2240","2300","2250","2360","2470","2630","2590","2150","2100","",
"Africa Western and Central","AFW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3040.68694918136","3150.03682686235","3303.16605717359","3438.42772079132","3567.84609991646","3723.19793107171","4022.99304377321","4014.43246974439","3979.7571150488","4015.58018676707","4140.93869328714","4398.6425279274","4421.15637910998","4613.3837469212","4979.90173668116","5239.78731624716",
"Angola","AGO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3000","3320","1630","1500","1260","2350","2420","2830","2820","2630","2790","2910","3380","3470","3780","4310","4730","5350","5590","5840","5950","6120","6750","7020","7510","6760","6490","6570","6790","6850","5880","6810","7320","7310",
"Albania","ALB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2550","1880","1740","2110","2300","2710","3050","2780","3110","3550","3980","4440","4870","5130","5560","5980","6760","7490","8270","8670","9530","10210","10450","10750","11360","11800","12270","12800","13480","14430","14200","16040","19140","21110",
"Andorra","AND","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63180","58660","63290","75090","",
"Arab World","ARB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7055.26456186326","7462.10176761935","7865.42365413611","7986.47985725862","8101.88727896023","8332.52123629808","8629.05986818154","9009.64017229728","9418.891430212","9360.99223339535","10033.0394683139","10203.9413352431","10102.5982081205","10487.7126241485","11549.9312045183","12294.2503499637","13220.5593259942","13887.2321373722","14482.0010756648","14203.4217033216","14564.2836005279","15067.3418962442","15981.6575315658","15941.5077936021","15748.9610839699","14318.9074262007","13884.3810657589","14462.5410379509","15357.4189592099","15440.8912302481","14195.7779040894","15538.7817501242","17240.5754419844","17736.3871734103",
"United Arab Emirates","ARE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92550","88210","88020","86250","89470","94770","95570","99960","97500","90780","102160","100450","95490","100070","108080","110240","109650","97990","84900","70650","67750","72700","74560","75260","77880","68730","67640","69700","77020","79230","65800","68790","78530","83750",
"Argentina","ARG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6870","7740","8540","9390","9990","9750","10320","11200","11590","11210","11240","10840","9480","10530","10810","11980","14410","16080","16910","15750","17450","18770","19170","19680","19250","19680","19800","22910","23620","22610","21700","25560","28490","28710",
