"Data Source","World Development Indicators",

"Last Updated Date","2024-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1348748522.87765","1507458398.82583","1630396637.92788","1778368861.64828","1966329371.71212","2069051675.88544","2128607836.76754","2312228013.18252","2415843227.99688","2422397221.90152","2701674799.68046","2830644520.83375","2733006561.59101","2948370456.57127","3225525867.9079","2731404792.87781","3419287359.85238","3239184627.29661","3765110155.12676","3367822203.98781","3238654364.53009","3285948781.36833","3392124836.40284","3565352798.44846","3668236882.17076","3718236361.46908","3748965003.99227","3855139712.91164","3998225782.92506","4078019692.56843","3157719618.33679","3949220211.10119","4648391243.13954","",
"Africa Eastern and Southern","AFE","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","535542025563.865","554261460707.714","542053759651.39","564910372708.121","583365527264.266","634888845387.404","682625501171.695","728270054458.225","747559439523.066","775251768700.698","823320424499.871","872331621742.067","924473702799.472","976843603461.501","1059912023168.72","1160751647679.63","1274841632981.21","1389875737850.71","1472795750556.51","1505197758534.69","1590577536326.52","1692809848008.67","1708706165101.79","1820014777708.84","1956349519973.37","2033282140622.56","2159046325639.93","2234310876043.04","2328878977588.71","2447572582019.25","2449845245073.12","2715603643578.27","3013443674464.7","3219422681826.09",
"Afghanistan","AFG","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15864189723.0093","15224554096.961","20123047324.3399","22278932459.8065","23184760643.3197","26587457905.118","29047794272.6439","33788985659.7922","35313783777.5505","43009573651.2942","50028298435.8574","51116377179.4871","60931092223.9816","67669597049.6616","73169249312.8305","77739868999.5339","77790300893.8725","84288052074.0782","90563706789.4257","99263716985.9417","100842500976.582","86285361406.7876","86333168214.824","",
"Africa Western and Central","AFW","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1024388687344.16","1091409705745.27","1177042800327.6","1260146638404.34","1344357271188.48","1441639190631.15","1600569937087.86","1640659911472.01","1670616010467.69","1731272037530.83","1832973365103.2","1998329969407.07","2061094922178.85","2206055091360.57","2441799551061.38","2634510102479.91",
"Angola","AGO","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35444391414.837","40550517457.1324","20593051038.6825","19503266043.0994","17017738264.4251","32754880906.9866","34841922168.9463","42032790769.4495","43334924706.6821","41814416609.2854","45777957862.8754","49219369555.8478","59179499478.8503","62849411126.0754","70913698209.8935","83813004192.3481","95412548852.1187","111918245800.688","121290616671.971","131519529290.113","139056775690.597","148439200654.428","170107319475.488","183512440853.283","203841059003.604","190283189910.917","189305603971.898","198430111559.404","212200392146.37","221700228850.388","196402587485.498","234841696167.61","260438906203.678","268199376010.248",
"Albania","ALB","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8371737598.25643","6134194023.47942","5655910783.09337","6796791150.01865","7388926049.04079","8625640429.8426","9651678902.85217","8744977045.44334","9735473877.40122","11045543660.8424","12286344006.8231","13584095381.8913","14861688994.3177","15606845726.8006","16816731085.6916","18018522813.9143","20229747411.4219","22240041784.3111","24373298205.4058","25388935979.5677","27762513764.8916","29661501021.1495","30301420508.8664","31130058120.0308","32825051619.8441","33981401261.2125","35302726459.8297","36782961160.9397","38641123830.7587","41175886638.3638","40292463124.0392","45086289512.0665","53151651063.5617","57976724227.2406",
"Andorra","AND","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4823308625.14387","4557679109.75531","5001856284.98537","5993774368.34791","",
"Arab World","ARB","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1593948842681.34","1722529723003.28","1860946132772.8","1940668683054.67","2022200229045.49","2131486837858.67","2260414712251.5","2416015378191.85","2584321334234.59","2627167113354.55","2880144327416.28","2994982698529.92","3030967875892.72","3215250434754.07","3618011514641.76","3941029573548.43","4345638265704.15","4686916154864.38","5019902448384.16","5052936981350.36","5307627806681.06","5610340801785.65","6079157357345.87","6203343716769.01","6266872502754.88","5820664492246.53","5763100568637.82","6127270120374.38","6642785165326.67","6816655339562.55","6377145118248.55","7093776718200.12","8011435316569.02","8394136849245.21",
"United Arab Emirates","ARE","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","175862815001.327","177155426551.95","186280948411.35","191764702976.208","208382593748.676","230661845566.662","245886891661.436","274508208671.825","284799293045.114","281206906855.535","334594122724.095","346987898802.642","346973144730.906","381592358860.962","431585373969.705","471927153761.695","537150991846.144","575477788657.268","593324187753.953","564707689869.438","574646935217.908","623377589226.114","646069195486.686","658627786466.353","688135750494.391","612870643123.899","608359854188.369","632044516427.951","704008181953.256","729835529577.475","611081607571.746","644231414365.766","741391655225.445","797034442727.789",
"Argentina","ARG","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","224188332559.115","256370813977.544","286615113381.353","319412870866.489","344679558687.585","340598528307.352","365211237969.695","401226572936.305","419832416225.006","410704753663.431","416594563310.281","406274630457.452","359310912510.531","403199587069.747","418093841975.885","468041504539.791","568762465726.913","641221306542.789","681124430209.466","640800278424.74","711794791170.247","774475577247.848","799850880557.188","830424664582.524","821243666294.275","848959683417.303","863207236895.477","1009263951777.66","1051149861699.34","1016089122555.92","984724060445.269","1170900901138.4","1317041518448.73","1339423418009.87",
