"Data Source","World Development Indicators",

"Last Updated Date","2024-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","","","","","480446.927374302","458100.558659218","1564245.81005587","3391061.45251397","4217877.09497207","4547486.03351955","6771959.27880357","10347511.9994435","9832402.23463687","11955307.2625698","13184357.5418994","14748603.3519553","10558659.2178771","9720670.39106145","9483163.74741961","11797051.1875341","14704080.0931383","17516900.068164","16222116.1786813","16664348.7006708","16848539.3339724","10210598.3145219","12319999.116496","14241766.3288403","",
"Africa Eastern and Southern","AFE","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","5599997.76224089","5599997.76224089","8399996.64336134","15399993.8461625","15399993.8461625","26599989.3706442","26599989.3706442","32199987.1328851","37799984.895126","39199984.3356862","46199981.5384874","47527375.6763246","63773980.2137103","78078851.9005019","72148373.0902195","107043108.038023","111424412.832397","147872278.821728","181309089.76823","177728123.571667","220288726.280588","234429968.226397","212926712.018452","220912474.528507","173752336.219322","126039179.160406","134591645.837634","189284510.541473","179288967.013878","162062975.153806","167274402.486613","209382301.388228","180139306.880349","260238512.710708","236955019.516439","393810107.268975","383757638.537913","386585738.585637","343401984.91352","329550880.441077","396370621.588429","458714208.945839","587668629.558654","762154110.037675","1066499126.70048","1260750199.58289","1460854409.25512","1836129108.13431","1913590834.41922","1912270943.60863","2068158357.13598","2218814316.05532","2366000693.41856","2379213510.25123","2368730245.52795","2256460189.76684","2394607876.69803","2552763152.20397","2161657049.07222","1787646004.50884","1695216396.05384","1900479499.76973","1953418639.41798","2023418492.36852",
"Afghanistan","AFG","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","308406.5","94761.12","27577849.86","47084262.04","10738034.5335198","10944020.3116408","107890.10906887","242475.541833949","36802.95","180660.399927953","2402430.8749125","4778790.72133592","6111813.81573379","","","",
"Africa Western and Central","AFW","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","124634.060047143","139982.240696829","125549.01839404","122110.217654769","221576.341727446","3071440.95410797","58650568.4202093","85049182.940837","30592773.9154916","14479603.20155","3249268.7707697","2660288.72814196","4111132.78287049","1466785.37753345","2529399.87322228","1252353.30427846","919342.173835729","1225449.50513456","3766087.24335112","4803075.61950148","1723322.2080514","1787869.35177278","4450062.87347925","8642808.0943644","7558945.356209","11836951.4148913","12565896.594549","8571818.72508944","7642540.62719767","56895380.2244889","15260467.6896756","105306761.340253","115950984.454925","219481160.740204","247502232.858802","262738120.496683","266899774.002394","251239858.934063","283984358.688477","278039100.438778","289056236.188106","276882578.310601","273617352.791183","278307224.628641","332642747.646662","509385574.525355","445333606.046189","534125191.72023","537611642.88278","520068690.754602",
"Angola","AGO","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","290000","1170000","1660000","5630000","430000","0","0","2495000","3378446.38","1366548.48","1173129.46","470000","20000","6378100","3185000","224315044.600047","212220137.27","252852819.11","264702200","212229720","221726875.72","246614994.79","127168951.47","129608227.29","121666360","222726990","196388850",
"Albania","ALB","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","8358857.12","4942627.61","4204267.36202606","6768509.00807782","11850000","12517993.9317725","14487498.7588023","12138446.109668","12703928.1780979","23362460.0492865","22607333.7766244","21881927.417607","24578013.7488837","23163082.2844536","13132426.9115916","26412466.5010989","34784215.26461","38609323.641355","34763724.472583","31727566.8165585","15183790.9260235",
"Andorra","AND","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","264666.163607838","482661.270612958","596311.549435029","429346.900964279","",
"Arab World","ARB","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","0","22702105.810987","28737501.5975307","36049633.6548443","31260717.8831877","32085875.0973955","37093976.8608406","26485775.7963853","15419081.4442301","13137491.9966205","13995057.6784789","12820700.8245249","16468463.0198058","21597085.5876159","44407963.1465493","51716893.2480532","62048627.9217175","61495810.2049798","68243385.7993208","78748999.7879266","609512999.112863","224169818.359078","176057689.862944","491829384.014848","566753377.636297","532460827.801471","423152345.967249","402587709.238495","220064041.934977","210484830.340776","164739257.323495","289649778.388442","307148345.103487","541614357.37259","427491669.496561","439332321.859718","472747587.776239","459550248.059478","626471727.447478","648999616.89058","625603530.43209","711648384.772622","813449011.126553","701559871.318682","767850350.346406","893729102.222808","858130489.83614","1007933502.32538","1057485581.53976","760936555.544483",
"United Arab Emirates","ARE","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","39000000","54000000","71000000","69000000","101000000","254000000","363000000","524000000","446000000","420000000","420000000","280000000","288000000","403000000","409000000","420000000","284000000","319800000","376700000","392000000","482004066.218091","544377042.635738","590352559.088508","582160100.056829","580337544.850569","564137635.39202","351280000","402950000","520630000","650640000","894824121.747904","1174682409.95912","1531726727.27288","1526895360.76094","1712212409.7066","2079139111.3222","2216992899.83386","2329270062.45138","2098996165.63338","2178066123.6149","2108388364.21439","2350351644.7677","2054243292.96211","1688980858.85513","1147034410.99084","1370396389.66276","1720473470.20717","1749213598.51095",
