"Data Source","World Development Indicators",

"Last Updated Date","2024-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.2121325398976","20.0367249904706","15.333497453748","13.9770515755651","12.9281603527476","12.8048362903862","12.3049882430693","13.4908300391384","14.1470450328557","14.5133427332625","14.6424246274665","13.9496520911751","15.1208585234171","24.7744403222298","","",
"Africa Western and Central","AFW","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.6448213941234","85.6325633779635","86.5318831538917","287.567603288386","309.568583593466","581.118594659053","241.057580028413","208.329736159133","147.285556023059","194.743081763218","223.247874685507","131.075488785439","119.007606639374","66.8015474005734","56.6608943375421","46.5316384524521","37.1535133974722","21.438320454366","20.7080709389994","20.8444196820752","31.9407466775482","35.391161439956","33.9687833340898","30.7446797465038","35.3141708977239","35.9601983394843","56.7801551072078","114.845094739887","84.9404832072628","84.2843626077274","96.5947268172003","148.119485002304","108.247761237676","60.8750194458065","",
"Albania","ALB","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.4538639208255","102.519434311342","64.4704411333546","46.60851251549","18.8339089219613","15.0396165451626","22.3694743859096","23.7786784966771","23.5169217207245","31.2984369032889","28.5148942075257","26.4836764719387","26.906719150872","21.8078627475742","25.8843273020755","27.4843849045644","27.0298318019354","32.8810151678961","38.853166748772","46.0423347588701","50.2880728178401","60.3895494952424","66.5334303235846","63.7664595243345","73.3135322383179","70.651576129568","75.0981975562841","63.7541024238069","61.015763100267","70.2589295385165","62.5241703121563","56.3023228650404","",
"Andorra","AND","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","44.6483194098964","45.792039237434","61.1392440120709","51.9530681980197","56.4844126585418","48.6099404387298","93.3425049762947","46.2282372006326","35.7191930020236","30.556438109999","27.6719318453773","29.5945044681267","38.9848417579252","41.6825294657416","44.742849204167","48.5365413234134","55.0294127610094","54.2417099417586","58.4932935172091","159.890183546743","133.474955613907","114.783966038451","74.2469415660219","52.8779757006235","43.1501917496034","36.7970755463574","41.4244681423918","30.9493567310993","27.7443463568229","26.2398392717053","27.809883508059","29.8320356503375","30.3598204660502","33.3127852334432","36.0212321542443","54.8963363861405","65.2502212076743","68.0863697932461","51.5219460334964","40.0036910778865","",
"Armenia","ARM","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.160049321457","16.3467495701756","24.5820006708766","31.7076435721137","36.7643608733105","41.1894948588224","53.8084288501274","51.6822939077758","64.6369814678621","69.9371558433651","68.8336104106055","56.5888045570056","38.5750336386734","31.9881885928206","31.7603379636547","29.2430682607578","54.7919777524588","64.8981549562732","70.5642908723285","69.1932584997682","73.5435614911053","70.522973244206","80.4154639528465","91.3302217488821","85.7142699282465","84.732912100644","86.1257528845279","101.241624288475","102.441716382537","78.8389524291956","",
"American Samoa","ASM","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
