"Data Source","World Development Indicators",

"Last Updated Date","2024-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.1336717428088","28.4615384615385","30.2334062727936","31.7007715531701","30.8690012970169","25.4941135775374","23.9991775312859","26.629979781872","28.8817040907799","28.4513918843887","33.160442199198","34.5191296544988","31.746651038248","32.1030557196345","29.6421797785745","28.2831797071863","27.4166371579459","23.5225068320821","23.8258550178984","23.1114610175592","21.5389195724266","20.5750100127193","20.5511821265415","22.4017243113924","22.4385043629328","22.6952734159163","20.8393647812642","20.5525021753854","",
"Africa Eastern and Southern","AFE","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.4212723731751","19.5224426946535","18.9743219844168","17.6895063672977","19.1237661701161","18.6941683269634","18.8752493961897","18.1435378658994","17.6643422377732","18.3374555496889","19.6099567231282","19.2735153431619","20.2492225279377","21.2780399192503","23.4851678315678","23.2845825652957","21.4401474268722","22.401802407371","22.6601629065017","23.3111490003736","23.6228933073971","23.4743377076419","21.4291104418767","21.6086487252892","20.8804802111136","21.4696166055205","20.3823083041686","20.1084469922482","21.1178907575093","20.1143189031174",
"Afghanistan","AFG","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.5","13","16.7","",
"Africa Western and Central","AFW","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","","","","","","","","","30.4931731253335","30.4511114121029","30.8936755014177","27.5565797901657","23.3007709224417","25.730579355956","30.804053314644","42.8208531628244","28.1973176920118","26.4243531675539","26.6675773725046","26.1429704757952","27.5004591988793","34.2024908297612","27.2147092687935","24.1303058646463","17.8694205677582","17.7122552404386","26.4904004984611","26.4373618826197","26.256018224438","26.612997679155",
"Albania","ALB","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","35.805834723522","36.3861156517659","39.2829001338862","37.373346292896","32.9255350791543","33.9319591391124","32.0348354243886","29.4538695223043","29.957542067619","32.8770715994479","30.360946807547","7.60311109567282","5.65668410228241","13.6761374504386","18.8965848987739","21.2785134595821","18.063790715967","16.6595085173425","19.7426022741446","19.7346920833014","30.7962585719445","34.9886697820033","35.2640615632586","33.8968627994889","34.1967461797911","36.8696756752052","35.6975187198863","34.4619700309054","35.7784238754261","34.5578458934766","30.3086698207955","31.4135814808892","28.3285499594466","28.0524964575465","25.6746926299268","25.8190485021686","25.2238259425092","25.0525380257711","23.9102053888242","23.0125955147467","22.9650300135768","24.8122951383153","","",
"Andorra","AND","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","21.1074727262788","21.0368079399557","23.1033188376756","22.1980777805169","21.2626730551126","11.5875545380661","29.071698635464","25.42211558506","31.8159834982348","33.0311570342265","37.1079948613759","29.2228029086917","26.8256880595062","27.438841030037","30.5894210161566","28.7985306097824","28.3039267743105","24.7725769069742","24.5820788017731","21.8075572254612","22.7935388930921","18.036676103657","30.5081025795496","21.5545028932645","22.5894661971225","22.9822064135506","21.2966595271414","21.9813641915065","21.0321955035678","18.8102400915898","22.113234562922","21.7537734732847","19.7378319473918","21.3802328425297","20.8713371401207","21.6476781921545","21.4001827242822","21.3040329717728","22.5001768342146","25.3444432407267","26.299594154679","28.2268861806882","26.2790735975654","24.3570364854729","23.6965038180046","24.4708138665918","25.6300959221754","28.3126243192036","28.3656645243695","27.7149212264854","26.5156681170999","26.6808205601268","25.5720275723831","24.0490560975271","23.5607041135617","",
"United Arab Emirates","ARE","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.5025971503274","22.5456815521944","22.1297618369823","19.9785190602061","20.1668488058722","19.2703996822451","25.1991828204692","25.0980915438506","31.6335487625593","26.1813529216174","22.5088852105961","21.3146835415612","18.7714505330082","21.581267907459","24.7985345242883","25.1593261512356","24.9774926798669","23.2453423650655","22.4227624232681","22.786447494702","","","",
"Argentina","ARG","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","23.4792342590099","27.7664470644615","21.7309350217721","18.2728788276194","21.4739126232485","22.4276757468008","20.5425466290179","21.2150357873283","21.6904972921362","23.9906052021963","24.4400952475051","24.1130324177909","23.8915446190398","20.8938115320811","22.2603317856376","29.4410469590453","30.7294395896829","30.9416888038212","27.8001595713111","25.8567694620944","25.257786289888","22.6910887215618","21.7549479464592","20.8877523061467","19.9640924492995","17.5890669180019","17.4617642050861","19.5548660012086","18.6400388971926","15.5146982752804","13.9969815756662","14.6369773950796","16.7024057741857","19.6881104233422","19.9656232520199","18.5004105114971","19.6238724452255","20.8260515469902","20.9707691548621","17.8629278753399","17.5334874363903","15.6259653308051","10.8539052402585","14.1469621012504","17.5512703642799","18.8882641376513","18.6804872364334","20.099113202908","19.5727758777106","16.0531123592112","17.7055338062046","18.39845891735","16.5019865298875","17.3057789012596","17.2628810064651","17.0707048841583","17.6632278606203","18.2125671747754","16.6138850156371","14.2100303992191","14.4151557410245","18.0573400196077","17.6250450078199","19.4719102386762",
