"Data Source","World Development Indicators",

"Last Updated Date","2024-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.9560067681895","24.8421052631579","24.3143690736689","27.0848708487085","20.6501297016861","23.7146426995241","19.1893086137101","12.2071589258764","14.6464623827536","17.2483336211491","-1.65295419561845","13.1042321741943","2.91736369330301","15.3451061443337","11.1749134270633","4.64861875358469","-1.2401477582126","5.75084758833322","6.98215053011315","10.7100533865695","14.9883995802521","15.5292370807989","14.3109511822094","12.3387306205605","16.7220063896617","4.65572019227165","13.4612618196411","20.8897194108368","",
"Africa Eastern and Southern","AFE","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.2832207615054","15.8960280835688","16.3132891855291","19.2821752753072","18.504064813026","","","","","","","","20.668760033293","20.794876310875","22.4881419584249","23.0971353427991","23.9903658205383","23.8200551848086","22.3535739232865","18.469142396175","20.8799251503297","21.171271858998","18.2804230982212","17.7297957483815","17.8692061793284","16.6655753470862","17.4707828228125","17.587929124491","17.440862115184","18.7480090561969","18.7611587359561","21.0014549735624","20.2859268266133","",
"Afghanistan","AFG","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.73776944122657","","","",
"Africa Western and Central","AFW","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.8768162483063","26.0554613307072","33.5360055098732","41.1876533504831","43.4545835874633","41.4989702286428","38.6588586381068","27.6578736259277","36.9873385993239","37.8885498374036","37.2329984095444","31.978571195982","29.8579651106811","24.8175549280846","24.0174901664108","23.0996694429225","25.0999238249368","32.1029953156823","28.0659815476061","38.2908476721501","36.6032697263617","30.1787170937304",
"Albania","ALB","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","27.811226308299","28.4100004362066","28.2425665773267","26.0607555881553","23.7252668969749","26.8282680674096","18.7777579223622","-10.9519889602208","-11.9935808855625","11.2082081228168","3.10984322108368","16.3575110147134","16.1325085222171","5.57239439340344","17.3374359747225","14.8995793450768","25.8913491846552","28.9252187864385","25.5167165764119","26.2582688780353","29.3848368163144","30.1064946152177","29.0689428992694","23.9542931255582","17.7309240340907","17.3358968273404","19.9676166726829","20.5454589869746","19.6251008726206","17.7412920007614","15.9293874874597","16.8639794428582","17.0490732471495","16.5293717538814","16.5471599589616","14.3966084519199","13.4131244989051","17.1506308942583","18.4203696785764","17.7591160793933",
"Andorra","AND","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.0379241093965","-3.12841275452358","","","","","","","","","","","","","","41.6863906965698","43.2194986375286","42.7787790076082","45.3625962067569","32.291220212702","37.3707443413166","41.330652153294","39.9422089771791","37.7140669579333","33.7283356034149","24.5803685612221","24.1888590916551","28.0517779162563","31.371477756028","29.5459818948324","22.7629909558987","28.4667750710088","","",
"United Arab Emirates","ARE","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","34.0135295252257","32.4531153857551","30.0623313779627","25.1337890334275","22.958545298159","19.9082193500495","18.3182702207985","18.5368526806101","17.6215040712082","17.6861451460886","14.7833855830771","15.1977644724266","17.6090832147809","13.6301823874957","16.0433752309533","13.5618560304189","13.6516427929257","16.2505279122602","15.6483624533872","16.5116322700598","17.1300773563084","16.6642824266429","16.1297343275958","13.6619163753345","14.3684376958258","14.2140728227831","21.3431768782392","21.7345330075457","13.7828348747865","13.7086097328953","21.4172295393985","22.2314441717013","21.1268023980529","18.3213663046327","17.3318557921569","17.3332165460366","16.2099451316674","15.1944663729121","15.909027608976","14.3058273001867","14.6222549674317","13.0688485783361","11.3939154141372","13.6907954449568","15.0121353189386","19.5418208253231","17.4911319007133","15.1214269739705",
