"Data Source","World Development Indicators",

"Last Updated Date","2024-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.3963620981387","14.9874493927126","17.1338439095551","17.5109023817511","15.5483138780804","13.1759545308158","13.0540690696972","13.2416208673862","14.8922098082515","15.5965082540353","16.2974611255338","17.6558632372378","17.4795502921148","16.1823488793703","13.0430359920285","11.5460620013165","12.3664483303712","10.0760634560669","10.7496624410616","10.799498200524","12.4688230870932","12.7138223459928","12.3948233277596","11.3581680555627","11.3720370882194","","","","",
"Africa Eastern and Southern","AFE","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","28.5640070061629","29.6295184326881","28.3239476303099","26.0274067879748","27.6172114278417","28.7037333358769","28.8636647853105","28.7277044539295","28.4439780948927","27.0378177795423","29.2734750151531","27.8460630235465","27.9791584884986","27.4975359994125","27.3350871746557","26.5207121952246","25.914304487377","25.7444542480352","26.7428740364226","26.7881647839232","27.3871572905525","26.6441599198321","26.9353818230711","27.8733169603028","27.9715245958156","29.1569849280136","30.5971690215749","26.6991166577579","27.6421590302539","28.774712656258","28.5662947141113","27.8204129100855","27.1626024843033","25.1911903693305","24.9987591816551","25.855925011485","27.8436553556542","26.3787920730298","25.373621750276","25.9731938358434","26.7952186552044","25.5025679631203",
"Afghanistan","AFG","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.8101270064854","22.7108641828326","26.2267897500666","26.8120992326398","28.2107680719994","26.8822416082148","26.9156280026285","21.8971222069406","21.1514206977128","22.7402524820273","21.1578071539751","20.4446053132561","21.2296632181805","22.1240424906926","10.4668076938201","10.0518739969063","13.3872469597976","14.0581123697768","12.9525996015547","14.2736570191788","16.0503677223963","",
"Africa Western and Central","AFW","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","38.2027744477696","33.8822631074812","31.4910469063528","27.6198873076572","28.8645431444286","30.8967011078617","30.2494125316435","29.1246677370315","30.8210801551128","32.2681372480931","32.7254223438168","32.1774507277322","30.8174698674294","31.5197656993439","35.7673337174936","36.4131866230594","34.9444505331975","29.3084967581437","27.9007101033022","31.8612448254673","27.9405525135316","25.2326758513942","27.304524728298","29.0777481592382","29.4742180601649","28.057570300055","26.9222321463291","27.9731482062549","24.4768017360314","27.2086664400649","30.1882007809753","29.5659287299886","28.6389504998178","27.2484738415554","22.9715999150689","21.4627775327418","24.3443152324927","26.6320484469982","27.4984995346003","27.2115614980335","29.4768558216698","30.2914673734663","30.2893822632635",
"Angola","AGO","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.2851757873636","67.8206759362436","60.757741389497","55.1572893027623","72.7173723137849","72.1229549419033","64.8838115415289","56.0757965388459","53.1169977877105","54.6299332781384","60.4019934569532","58.109331166465","61.8835378515421","60.2548203971699","44.0563741288187","52.3684375791632","56.0265138898967","56.9182189644947","53.3628521772331","46.2033255675024","41.9330921928439","42.6435678702129","42.1679537698985","47.9315418514046","49.7609216143959","45.6782423367558","47.5244095549704","45.1776019605704","45.3172498678431",
"Albania","ALB","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.3738406921901","18.1097656674433","15.3468382322371","16.5367430578412","19.3956891374484","21.7357737789933","23.10636959577","24.055608509483","24.6655622675068","25.0816065897088","25.3080259185205","25.3403319220157","25.1610103305709","24.4137783931968","24.9374619346668","24.4844782196853","22.9185533432722","23.0613168520051","21.5088457362369","21.7636809971645","21.1419653523072","20.3584083577153","21.2794101864807","20.6196548783662","20.1145301950871","20.7469849089846","21.3944061535612","21.1561643427456",
"Andorra","AND","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.8437550367806","14.9240176087095","15.0672890885022","15.4949366544165","15.7803540103879","16.0357828783728","16.1672951911525","15.4735314793076","15.4327671138582","14.7664887100921","13.1256460606154","11.908853107908","11.0715796683925","10.6182471491429","10.1535313011382","9.98126871637019","10.1407794073814","10.3955176672591","11.0763337210625","11.6998176283166","12.6601582717327","12.3657061543935","11.1453758215743","11.4140681653372",
"Arab World","ARB","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","55.4946466216041","57.0929513616618","55.372829714792","51.6589052773498","57.4680767170616","63.0011965488435","61.0481711893972","52.4624866834073","45.0731027592279","43.0509574737987","39.9215094261428","34.7197553734221","35.9074146734185","36.3855128387615","38.3089690373716","57.5103431135845","40.2994775841625","43.5132976338118","40.7245172098678","40.5098607089637","42.825494859522","44.108174370427","44.847703898386","39.8466186440742","43.7593226900432","50.0423719252074","46.7924770212272","46.8234746313593","47.4443757412922","49.6567406497815","53.4562024373247","54.6779843389646","53.4732366900906","56.1870271667665","47.707261324492","50.2480017782096","53.6295466286329","54.4188573034191","52.2380499268185","49.7325018402866","40.5655980935034","38.2518293976282","40.9162956514436","44.6933904346814","42.5452495066586","37.7693647934645","42.6923590050404","49.5014168599655","",
"United Arab Emirates","ARE","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","73.9955070052991","71.8147226501298","67.9817061865229","68.0587998826611","71.3555523848691","72.6636063301946","68.3633070683534","63.1520519771899","61.4041786789367","62.8107143089844","61.2521468441391","52.1543733498118","54.6811011537108","53.0142376546918","55.0769292067955","58.9023505708529","46.7783014879946","55.2980232231106","51.4799216454456","46.2603750878466","45.5451739211502","46.3670023696682","45.4284115017034","40.0235324596818","42.0206625694073","48.5170116316395","49.6763412859899","47.5457475824448","49.1210129154604","51.6783480847693","55.6434763024807","57.903111718071","54.840228590251","58.0179784435584","52.044956000368","51.6784594801877","57.0771206752701","56.5680617372237","54.2038149769832","51.9897136713276","43.3542449306312","41.0285717283492","42.5280347643157","46.9189575863441","44.5245160379612","42.1740430729321","47.1393240196274","51.464463580984","",
"Argentina","ARG","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","48.4144764220088","49.605814661101","47.3834143823114","47.0360652886282","47.3861283042889","42.278789634459","45.9547284532329","45.581648950747","43.3522399337902","43.5928026239928","50.141323678472","50.8936968299416","47.8061321932459","46.0976480128857","44.0281237970279","41.2196656668996","40.3382267072576","41.1028486443199","41.5563065120102","39.70818793304","39.2761545711593","37.3804348914774","37.8286752699048","38.4866110820983","42.3478130695861","36.0218813478135","32.7225282556322","30.6839549022114","27.338739645861","26.7545586932878","26.3012103355498","26.5925606398683","27.1791508883114","26.7121357626278","26.1936304991129","25.9908360111364","25.2434339827333","30.5577370913046","32.6450990996503","28.816922006834","28.6263140439084","29.2032796652469","27.4152361334783","26.2724599395946","25.2842047993735","25.2587762576722","25.2126976058843","24.4290570649122","24.0058814423072","24.2773944936602","23.153056135905","22.0541072112108","21.782123219335","23.7195923321304","23.1578477391434","22.4088763711802","23.9172428049615","24.1637048898657","25.0663875841191",
"Armenia","ARM","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.8270946139077","26.7090481417071","25.2705329463993","25.7086994351611","25.5771330395605","25.8095323791656","24.7565578476257","24.9716084573435","26.8172956979296","26.3643404113901","25.2816609618458","23.9333893351993",
"American Samoa","ASM","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","11.3649397820684","10.2444360301233","11.4370690820603","12.8918593920412","13.1037389665774","10.228107266051","10.0563024704963","10.7135376666899","11.4654278111046","12.6383270056638","13.483613997245","13.8875133923346","14.8140613556839","13.5036016309856","14.0801833097097","13.0090705186982","12.1921674163998","12.0025597876324","12.0962699309781","11.6906631762653","11.842994462544","11.941698399895","12.7014171790291","13.1055443370115","12.0609971763693","12.1926774644576","12.4849578820698","12.1601478332112","13.5160604009676","17.125054694026","16.3206506445934","17.6110963151787","18.0464283806166","14.8390004821284","14.4530741904434","14.019630552664","14.7603146437903","15.3654199482116","15.9250271771331","17.7630483047708","18.849038849958","20.6520988023085","21.0939260912965","21.1335862331491","20.4929123040736","19.4735944539628","19.4351587534362",
"Australia","AUS","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.7740149989498","27.6477712420032","26.8645855728363","26.8213344258826","26.7786228785862","26.4104177506726","25.9578538628918","25.1950454941482","25.3608037471998","24.5931615436944","24.5505331429934","23.6335209682755","23.6117317032544","24.0420964552713","23.9349187410093","24.6185066162979","25.6148301545141","25.665940939723","25.6045756759117","27.0459736127175","25.1731664291338","26.5217449534805","26.3790167185039","25.1869822985538","25.5661235423003","23.6829066683572","22.3232240423983","23.4765922956863","24.1279611911557","25.2735069295943","25.3862495074569","25.4175760363943","27.4829945384514","27.3626557260814",
"Austria","AUT","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","33.9985945665537","33.6022058931724","33.8423827872164","32.9180389097137","32.9373057967936","32.5462613788216","31.766130895421","31.2968521757649","30.1146225743745","30.4474446523766","30.259284564499","29.7526220688057","29.5182647201743","29.2832194332994","29.560863303277","29.5052574059251","29.0158979502276","28.303768907107","28.4134001556217","28.851531988081","28.7520088650827","28.6763839380903","28.5106628527989","28.4285921580405","28.2848020340956","28.2087461435225","27.3880784820285","27.498379858473","27.3737678166123","27.0742425967636","27.2593708304078","27.5726388212438","26.9602141407645","25.7928458296062","25.5349942466396","25.4474320432043","25.6339685320435","25.5249417894219","25.3646396008814","25.174913250307","25.476804975952","25.4118677707583","25.3664293905671","25.2045293333185","25.4887323181175","26.0704865756319","26.1068838876749","26.2612839730825",
"Azerbaijan","AZE","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.0477489768076","29.6032934131737","36.536586377876","32.1487261146497","27.6519081932212","30.9963445496298","35.1496743028617","36.9914194345059","34.9561123059931","39.1035999046383","42.5383099128887","43.4626382722552","46.1542268041237","48.5398446792136","50.7690323790767","58.5242563385905","65.153471103477","66.1211896828335","65.710363453355","56.3585803968934","59.7713411044389","61.7328443608156","59.4557912599989","57.0544154549517","53.5868546669355","44.8913203383597","47.5578070076723","49.7017251037138","52.250536882585","48.8236328425495","41.9563201571824","48.8181736249399","56.1467373576856","46.6317359792855",
"Burundi","BDI","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","9.40435329180615","9.757409474907","10.7939653815164","11.6259017618486","12.1193843211534","12.5826855731207","11.7422871267673","12.1820399284065","14.3067317549249","14.7154336475697","11.6707379245525","12.7159338731537","14.2948788244325","14.4812136144171","12.5809208689103","11.8218760582459","12.1288474573801","15.7113530371091","14.8146929535943","17.2629184748477","17.3268756640774","17.5348516739186","18.9860061517847","20.1234127083025","19.5729092024609","16.8006722324595","11.7825921702775","13.8904315635939","14.6912847076462","16.1196105401845","15.5395706894248","15.5731910756723","15.8040004931229","15.7417123072253","16.3230191571129","16.9330035986109","15.3152912436064","17.1561942189062","15.415205278109","16.9195289638327","15.3861562777509","14.8096813161324","15.7508130170673","15.5848005138924","15.498211588581","11.7664286894227","12.2073630909389","10.9931308053063","11.1072170298745","10.9359800008699","10.7429500000783","10.599389999527","10.6377881445908","9.58704196613673",
"Belgium","BEL","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.0458142488138","25.8108864229345","26.109865395814","25.5706853726919","24.7258443400042","24.9438325836543","24.3121509872514","23.7873363393069","23.2266548885812","22.9599989488568","22.5737781481988","22.139925542401","22.2819524770029","21.59544849636","20.600029785888","20.8945803561766","20.7778964049581","20.075240558224","19.8791997556506","19.6748264840511","19.6698883181098","19.2882202670028","19.2353624906499","18.9339307746014","19.2593657257244","19.3906567836726","19.3297972763911","20.0459678279335","18.4421759644152",
"Benin","BEN","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","10.2269747245557","9.81330180282074","9.79130917171242","11.4694195815885","10.7934373721091","7.98184938137773","11.306612935673","11.4130625066297","10.8688139498865","11.0630654417435","11.7037494114915","13.4808042905619","13.8881251964887","14.2961258064227","17.0842249836147","16.1643290893295","12.9100343969082","12.5569870845307","14.0053645940617","13.3433454489017","12.2816697036432","12.9104044443482","15.1224192815258","15.3569747371469","17.0694521775889","16.702425147013","12.1078445244769","12.3655660113453","13.3946717230815","12.7680161414965","12.4533850515242","11.9826304214042","12.7276805044929","12.2171017970245","13.3380644179387","13.3923114111766","13.2669409931979","13.5207077594723","12.5664712925972","18.0457037967816","18.7563482119071","21.6063061308323","21.2560648162627","21.7653358858628","20.4994246078487","21.6135923867357","21.1570137776206","19.5111771844474","17.6606220766815","17.9195079292369","18.0090531395068","18.1374491115974","16.9566846878966","17.2437092893088","16.4115774866134","16.3850954444902","15.7020683118185","15.1075858507501","14.6419567509163","16.3125612015902","16.2905490528658","16.4674003775761","17.0177168089335","17.301919273728",
"Burkina Faso","BFA","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","19.9138430386342","19.8945260581446","19.3676452476282","20.6236673558882","20.0814430026433","18.696338961347","19.0215650519734","22.0883134380454","22.7190982357839","22.44425758866","22.2505701596598","24.2440602064336","23.314259405822","26.2004978191128","22.9775219067396","25.9407461000063","26.4671785662136","21.3030958080609","21.4505263539173","20.6600047707038","19.8109302134947","18.7658580765374","18.844516802491","20.3573123203095","19.9661319195887","19.229575019983","20.7294866291817","22.5478843267088","21.5124048827824","22.1262334697078","20.3691495962921","19.2554872338296","20.2596766217691","19.8531100461198","20.4112031488612","19.9448893655573","18.4922177411329","19.6827849656377","17.855937461003","22.4646377615114","21.8707545475914","20.6389246484114","20.6338145094446","22.6250739908394","22.6591757180332","20.1658324331189","20.5038527918156","22.5483344043863","20.5479237002055","22.9558804915607","26.0555520336446","28.3722709055706","26.8675103794383","24.0957515828697","24.9295392471244","24.3613757844362","24.8815173666488","25.1507727895173","25.5894433780973","27.4259133841654","29.4694767869262","28.5537050919518","28.7354870829588","29.2507438804066",
"Bangladesh","BGD","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","6.97381556958263","6.79411774906471","7.96386176172682","7.80459286326724","10.4230244561503","10.723024748933","10.3150855684753","8.10282841164145","9.26234551475759","9.18640400926977","8.72908283074018","7.68383878031331","6.06410210550716","12.1103374893782","13.3727281578377","11.6110473057592","14.4492027919251","16.7290739025876","14.3097126896709","15.6864548108505","20.1166762234798","19.8059719535783","20.04288227039","20.8716248676477","21.4305495950497","20.3216634239062","20.3790141468201","19.6008172704812","19.9362085702399","19.7867069022062","20.1456258361335","21.1195045357667","21.71789053342","22.9342560517422","23.4699924276778","23.5808244521571","21.6839165728619","21.8626700944451","22.6607423702209","22.3758655367007","22.2793826819325","22.5838118742213","22.8392543728467","22.4741487860882","22.7797200060528","23.2998442190711","24.0953205119221","24.5005410079343","24.7270013036793","25.2955721814431","24.9564767264585","25.0452996007551","25.3099593902625","26.3070701636507","26.3110467833576","26.8313948329541","31.0691513830358","31.2482919641603","31.9828135899766","32.8525491977868","32.9115650824449","33.3160943869001","33.9200804971876","34.5942721606063",
"Bulgaria","BGR","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","53.7734093288356","51.9383133223093","57.9105918036742","60.3197762170212","59.9534588533954","62.5314079023663","64.009783928561","61.4640048396854","60.9691981504808","59.3923070703804","51.2749335765555","39.7538688282977","39.0522908366534","32.689193710271","29.9467275494673","17.8892462590452","16.2131442034548","21.7750696879005","21.2891946716025","22.3384390712016","22.6775829799096","23.9808817257269","24.0045118230475","24.3194023807744","23.1334052420728","24.2323985840088","25.370402523961","26.2601834036365","24.9905785476636","26.5673405144322","23.7541772436849","25.0301012066171","25.3837646988557","23.5074812631202","23.4443018802846","24.0301394911987","24.4597736962039","23.9892951281784","22.4146293879222","21.6948207439409","21.8248516452383","20.8511415758781","25.4501141822116","25.3664347046503",
"Bahrain","BHR","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","51.9658550624735","50.8360401484468","46.5073381642927","42.3825544415839","43.1017745707031","42.6121017742979","38.2774090958284","38.7190983440693","36.9536021638031","37.3672330670561","40.2218755694656","35.0592468367046","32.7261375493209","33.3712081617482","32.9138764385117","35.1324752763467","","","","","","","","","","","45.2834880040933","45.9178652906561","50.4076629462208","43.0997000499723","44.975946893886","49.5171903881701","47.5490713335536","47.9453756649045","46.5197733272369","40.2986502975224","39.3744046907278","41.3251757413496","42.8605583093433","42.0803295106729","39.8719270507749","44.9682498744292","47.8950163349736","44.502704818936",
"Bahamas, The","BHS","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.3660026126715","14.2042956411876","15.6992247264686","15.4172724348665","13.0898771021992","14.5829088677508","13.764887722368","14.0376281518426","12.7093216431157","12.677771241084","11.6061307648359","12.1488719700562","9.53614103678483","10.6168563566021","10.870239197122","10.3431253996283","10.8090522762856","11.7337529813863","9.25945110064285","10.3895116853506","10.0100581448934","11.4998771761611","12.0451419747876","13.0339070006063","13.0389195636699","13.3824186038035","11.3117830001971","13.3391797430418","13.1481526882248","12.4534314114047","13.2458013859652","12.5594987045852","11.2165644873295","8.49776194391157","8.79101719147749",
"Bosnia and Herzegovina","BIH","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.8552890287063","25.6999990691539","25.6999991174593","25.2176237420683","27.4301795819969","24.3568468974682","21.5373916859689","20.9376174163641","19.8153865976587","19.8200801927973","20.2334920339996","21.4328391329964","21.0300824020691","21.7724374056523","23.2014104320358","22.9076469417103","22.4540096321725","22.1932597066813","21.6232008180939","22.3236757020136","22.156369823245","21.7264560489569","22.3443500361225","23.1210738626282","23.7113591895767","23.2037923056831","23.7775609403246","24.7993816070925","24.663249794412","23.2870568796093",
