"Data Source","World Development Indicators",

"Last Updated Date","2024-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Medium and high-tech manufacturing value added (% manufacturing value added)","NV.MNF.TECH.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Medium and high-tech manufacturing value added (% manufacturing value added)","NV.MNF.TECH.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Medium and high-tech manufacturing value added (% manufacturing value added)","NV.MNF.TECH.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.5908440629471","13.5908440629471","13.5908440629471","13.5908440629471","13.5908440629471","13.5908440629471","13.5908440629471","13.5908440629471","13.5908440629471","13.5908440629471","13.5908440629471","13.5908440629471","13.5908440629471","13.5908440629471","14.2757172848146","2.71765663140765","2.70154983648514","3.06396016851781","9.55929665290078","10.0068399452804","9.48396392550296","9.28515436811549","9.04540630889217","9.38375959895067","9.50743390124228","9.50743390514774","8.46474928755978","6.90132854318275","6.41240942152383","8.46496563965005","8.46496563965005","8.46496563965005","","",
"Africa Western and Central","AFW","Medium and high-tech manufacturing value added (% manufacturing value added)","NV.MNF.TECH.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Medium and high-tech manufacturing value added (% manufacturing value added)","NV.MNF.TECH.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.26544047447621","3.26544047447621","3.26544047447621","3.26544047447621","3.26544047447621","3.26544047447621","3.26544047447621","3.26544047447621","3.26544047447621","3.26544047447621","3.26544047447621","3.26544047447621","3.26544047447621","3.26544047447621","3.26544047447621","3.26544047447621","3.26544047447621","3.26544047447621","3.26544047447621","3.26544047447621","3.26544047447621","3.26544047447621","3.26544047447621","3.26544047447621","3.26544047447621","2.98513777140918","3.52838160898955","3.56432794032302","3.27173313103798","3.2927155846902","2.98513777140918","3.37269753199798","","",
"Albania","ALB","Medium and high-tech manufacturing value added (% manufacturing value added)","NV.MNF.TECH.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.5811471765229","7.5811471765229","4.64283401428972","4.64283401428972","5.90294381505732","8.07276879444376","1.84378930154559","2.01360550119053","5.11903691080571","7.70330249003235","7.61096616294018","12.3073314939493","7.80105384911965","6.4348002946542","8.79561968215455","16.9842506831688","20.2122671045918","18.950749351955","14.0880113317174","14.3615194179702","6.55594383866479","10.5491947192084","17.0950463301496","5.63648928406372","6.6282662687677","5.80443538622455","4.4681507380307","4.88103821196828","4.60902290572876","4.24372005552322","6.30999158821428","6.30977346601942","","",
"Andorra","AND","Medium and high-tech manufacturing value added (% manufacturing value added)","NV.MNF.TECH.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Medium and high-tech manufacturing value added (% manufacturing value added)","NV.MNF.TECH.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Medium and high-tech manufacturing value added (% manufacturing value added)","NV.MNF.TECH.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.0837646305363","23.0837646305363","23.0837646305363","23.0837646305363","23.0837646305363","23.0837646305363","23.0837646305363","23.0837646305363","23.0837646305363","23.0837646305363","23.0837646305363","23.0837646305363","23.0837646306547","23.0837646304169","23.0837646304751","23.0837646305193","23.0837646298193","23.0837646296077","23.0837646300218","23.0837646298308","23.0837646307234","23.0837646299528","37.7825506911788","37.8735451399811","37.8286131158646","35.9297130091081","35.9194621757436","36.6315387916647","37.4891696614907","39.1994135217699","40.8047478987393","40.8047478990441","","",
"Argentina","ARG","Medium and high-tech manufacturing value added (% manufacturing value added)","NV.MNF.TECH.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.8699996708686","24.8699996708686","27.55326077469","27.55326077469","29.3866068305509","26.9182613510614","28.353876546801","30.4710326283074","30.018350986768","27.6990344325014","28.2631395753568","26.7609401872731","25.8412413758749","25.8412413758749","24.6114708185251","25.2048382213376","26.2079537368731","26.3538176224921","25.9318967466923","25.5208988357025","26.1834763194443","26.326283940279","26.2695537667952","26.4207779418198","25.4786952520741","25.2940192718582","26.9204760768435","27.29380500519","25.0392642031328","25.7281842981227","26.74866395667","28.5854981423592","","",
"Armenia","ARM","Medium and high-tech manufacturing value added (% manufacturing value added)","NV.MNF.TECH.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.8242331414831","28.8242331414831","28.8242331414831","28.8242331414831","28.8242331414831","20.1993381046042","26.3617449710871","18.2095413990249","9.44608481425104","7.62085975264376","9.52626636811095","9.9563617949749","7.75272938494779","7.54789057188317","4.07601270683478","3.91308219264206","3.90443188741885","3.91203966936436","3.91471518730715","4.50956655245517","4.50878450357741","4.50930314247056","4.50953273200374","4.50944054284511","4.50979558895947","4.09371061569318","4.33308161296177","4.63162199073651","7.05455917637127","7.8087654544348","8.3120055254733","8.31200552571902","","",
"American Samoa","ASM","Medium and high-tech manufacturing value added (% manufacturing value added)","NV.MNF.TECH.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Medium and high-tech manufacturing value added (% manufacturing value added)","NV.MNF.TECH.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Medium and high-tech manufacturing value added (% manufacturing value added)","NV.MNF.TECH.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.4010166945873","28.0594930521612","21.0020242908567","26.8512360361173","27.7561237493863","25.5794031699585","24.7462360796555","25.2894420447967","26.3592597020116","25.9827084579989","25.5994821849368","24.0689311400698","22.8218396895724","21.9816078584878","22.7321242207043","22.4837519461845","23.0062181548748","26.4813833441284","26.1793265247223","28.0298292037527","27.8166500071398","26.9854140818101","27.9457482175955","27.8112284739633","27.260421187509","26.1224776911327","26.69576698723","26.5533722782793","25.9843790037107","26.2594933830552","27.4152997803636","31.2783453311107","","",
"Austria","AUT","Medium and high-tech manufacturing value added (% manufacturing value added)","NV.MNF.TECH.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.2310563436051","36.8684918276962","35.2750126204046","35.9561674246522","36.5004763003196","33.9274079437385","34.1942090245933","35.5649929775453","37.1967258924241","37.535213140572","38.7197733113395","38.1545416154205","38.2294169087834","39.5899770478662","39.7462145364717","41.5844194509419","42.0498650433576","42.5208090955527","43.7136372999499","41.6146687326059","43.7774013580124","45.0017663637709","44.6419662370848","44.9767546554611","45.3987519217349","45.1197053406998","45.4270338644942","45.4294697143385","45.256768737639","45.0650744429811","44.7478353463958","44.8423147077614","","",
